File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF972DIH	bed narrowPeak	peaks	ENCSR848AOP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RBM22-human	ENCAB476CFS	DNA			SDS	formaldehyde	False	2018-01-18	ENCODE				2							ENCFF168WKB, ENCFF906SAI	6380232	ENCODE Processing Pipeline	7ea38219d558af654a619477756e93de		https://www.encodeproject.org/files/ENCFF972DIH/@@download/ENCFF972DIH.bed.gz	GRCh38			released	low read depth, low read length	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF420IBN	bed narrowPeak	optimal idr thresholded peaks	ENCSR848AOP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RBM22-human	ENCAB476CFS	DNA			SDS	formaldehyde	False	2018-01-18	ENCODE				1, 2							ENCFF419RSJ, ENCFF617QJI, ENCFF949SRR, ENCFF972DIH	231329	ENCODE Processing Pipeline	e006128fc8065cc3557cc761c668a519		https://www.encodeproject.org/files/ENCFF420IBN/@@download/ENCFF420IBN.bed.gz	GRCh38			released	low read depth, low read length	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF678EKM	bed narrowPeak	conservative idr thresholded peaks	ENCSR848AOP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RBM22-human	ENCAB476CFS	DNA			SDS	formaldehyde	False	2018-01-18	ENCODE				1, 2							ENCFF419RSJ, ENCFF617QJI, ENCFF949SRR, ENCFF972DIH	165685	ENCODE Processing Pipeline	ccae1e69da173b7291f011acfa487661		https://www.encodeproject.org/files/ENCFF678EKM/@@download/ENCFF678EKM.bed.gz	GRCh38			released	low read depth, low read length	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF949SRR	bed narrowPeak	peaks	ENCSR848AOP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RBM22-human	ENCAB476CFS	DNA			SDS	formaldehyde	False	2018-01-18	ENCODE				1							ENCFF120YSP, ENCFF956NBQ	6525892	ENCODE Processing Pipeline	4dcfc58b54e8cbf9752e2d0793f472dc		https://www.encodeproject.org/files/ENCFF949SRR/@@download/ENCFF949SRR.bed.gz	GRCh38			released	low read depth, low read length	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF617QJI	bed narrowPeak	peaks	ENCSR848AOP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RBM22-human	ENCAB476CFS	DNA			SDS	formaldehyde	False	2018-01-18	ENCODE				1, 2							ENCFF120YSP, ENCFF168WKB, ENCFF906SAI, ENCFF956NBQ	7122894	ENCODE Processing Pipeline	fbe55ce77a38aed3563459afb9782ee4		https://www.encodeproject.org/files/ENCFF617QJI/@@download/ENCFF617QJI.bed.gz	GRCh38			released	low read depth, low read length	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF072MHF	bed narrowPeak	peaks	ENCSR848AOP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RBM22-human	ENCAB476CFS	DNA			SDS	formaldehyde	False	2018-01-18	ENCODE				1, 2							ENCFF338SXL, ENCFF441IWC, ENCFF493QSH, ENCFF641CEP	7139944	ENCODE Processing Pipeline	0272228c7a5f6716852945bc3a7c0566		https://www.encodeproject.org/files/ENCFF072MHF/@@download/ENCFF072MHF.bed.gz	hg19			released	low read depth, low read length	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF051SGG	bed narrowPeak	peaks	ENCSR848AOP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RBM22-human	ENCAB476CFS	DNA			SDS	formaldehyde	False	2018-01-18	ENCODE				1							ENCFF338SXL, ENCFF493QSH	6526722	ENCODE Processing Pipeline	286f34882824089be1fb41559efb60cb		https://www.encodeproject.org/files/ENCFF051SGG/@@download/ENCFF051SGG.bed.gz	hg19			released	low read depth, low read length	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF314NQZ	bed narrowPeak	peaks	ENCSR848AOP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RBM22-human	ENCAB476CFS	DNA			SDS	formaldehyde	False	2018-01-18	ENCODE				2							ENCFF441IWC, ENCFF641CEP	6331282	ENCODE Processing Pipeline	12d3e1e4d51ac0d211ec5ef5685053da		https://www.encodeproject.org/files/ENCFF314NQZ/@@download/ENCFF314NQZ.bed.gz	hg19			released	low read depth, low read length	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF522JUV	bed narrowPeak	optimal idr thresholded peaks	ENCSR848AOP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RBM22-human	ENCAB476CFS	DNA			SDS	formaldehyde	False	2018-01-18	ENCODE				1, 2							ENCFF001TDO, ENCFF051SGG, ENCFF072MHF, ENCFF314NQZ	223615	ENCODE Processing Pipeline	2b8bc5c99e97baca5a929efe0fafee86		https://www.encodeproject.org/files/ENCFF522JUV/@@download/ENCFF522JUV.bed.gz	hg19			released	low read depth, low read length	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF301USB	bed narrowPeak	conservative idr thresholded peaks	ENCSR848AOP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RBM22-human	ENCAB476CFS	DNA			SDS	formaldehyde	False	2018-01-18	ENCODE				1, 2							ENCFF001TDO, ENCFF051SGG, ENCFF072MHF, ENCFF314NQZ	167884	ENCODE Processing Pipeline	dd963a659a1c6393a8cbc0bd216b8be1		https://www.encodeproject.org/files/ENCFF301USB/@@download/ENCFF301USB.bed.gz	hg19			released	low read depth, low read length	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF001VPG	bed narrowPeak	peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE												905466	Michael Snyder, Stanford	a5cc3f9197a9d86b96881b76f6d8a663		https://www.encodeproject.org/files/ENCFF001VPG/@@download/ENCFF001VPG.bed.gz	hg19			archived	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	missing derived_from, biological replicates with identical biosample		
ENCFF002CYO	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE												351292	ENCODE Consortium Analysis Working Group	44267b4dcba8700327baacc860fcbc08		https://www.encodeproject.org/files/ENCFF002CYO/@@download/ENCFF002CYO.bed.gz	hg19			archived	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	missing derived_from, biological replicates with identical biosample		
ENCFF512HLJ	bed narrowPeak	peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE				2							ENCFF498SAC, ENCFF916JGB	4795321	ENCODE Processing Pipeline	3c17b1179cf2f3456c17a2153ee6c4f8		https://www.encodeproject.org/files/ENCFF512HLJ/@@download/ENCFF512HLJ.bed.gz	hg19			released	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	biological replicates with identical biosample		
ENCFF621XGL	bed narrowPeak	peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF002THP, ENCFF498SAC, ENCFF732TLR, ENCFF916JGB	5966323	ENCODE Processing Pipeline	bc4a9002169ced6f6306d4a4d82969bd		https://www.encodeproject.org/files/ENCFF621XGL/@@download/ENCFF621XGL.bed.gz	hg19			released	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	biological replicates with identical biosample		
ENCFF671DOL	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF507ZLI, ENCFF512HLJ, ENCFF621XGL	356609	ENCODE Processing Pipeline	64dc4d3e4a826b90341dc7f40f98f446		https://www.encodeproject.org/files/ENCFF671DOL/@@download/ENCFF671DOL.bed.gz	hg19			released	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	biological replicates with identical biosample		
ENCFF150VMW	bed narrowPeak	peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF012LYY, ENCFF156NSV, ENCFF314KHY, ENCFF715JBE	5854344	ENCODE Processing Pipeline	c1ecb96748dd0e570c2a1b520209d9e1		https://www.encodeproject.org/files/ENCFF150VMW/@@download/ENCFF150VMW.bed.gz	GRCh38			released	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	biological replicates with identical biosample		
ENCFF613NZO	bed narrowPeak	conservative idr thresholded peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF507ZLI, ENCFF512HLJ, ENCFF621XGL	342348	ENCODE Processing Pipeline	4c28e667afc32b065cd396f9b114d290		https://www.encodeproject.org/files/ENCFF613NZO/@@download/ENCFF613NZO.bed.gz	hg19			released	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	biological replicates with identical biosample		
ENCFF161BNR	bed narrowPeak	conservative idr thresholded peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF150VMW, ENCFF284WGW, ENCFF419RSJ, ENCFF462NBV	344314	ENCODE Processing Pipeline	8f91855d2208a725a3e04da0de1f0322		https://www.encodeproject.org/files/ENCFF161BNR/@@download/ENCFF161BNR.bed.gz	GRCh38			released	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	biological replicates with identical biosample		
ENCFF507ZLI	bed narrowPeak	peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE				1							ENCFF002THP, ENCFF498SAC, ENCFF732TLR	5173454	ENCODE Processing Pipeline	8f6f2b56cbac1449b28960c1e518cc38		https://www.encodeproject.org/files/ENCFF507ZLI/@@download/ENCFF507ZLI.bed.gz	hg19			released	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	biological replicates with identical biosample		
ENCFF462NBV	bed narrowPeak	peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE				1							ENCFF156NSV, ENCFF314KHY, ENCFF715JBE	5112577	ENCODE Processing Pipeline	f96968730b5c74b49be1b60a153f8627		https://www.encodeproject.org/files/ENCFF462NBV/@@download/ENCFF462NBV.bed.gz	GRCh38			released	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	biological replicates with identical biosample		
ENCFF284WGW	bed narrowPeak	peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE				2							ENCFF012LYY, ENCFF156NSV	4682405	ENCODE Processing Pipeline	34f0551e2ede31364fd739542c3554fb		https://www.encodeproject.org/files/ENCFF284WGW/@@download/ENCFF284WGW.bed.gz	GRCh38			released	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	biological replicates with identical biosample		
ENCFF403TAF	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EFZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				UBTF-human	ENCAB000AME	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF150VMW, ENCFF284WGW, ENCFF419RSJ, ENCFF462NBV	365960	ENCODE Processing Pipeline	619cd935342a7e3844fee07a9bd87d84		https://www.encodeproject.org/files/ENCFF403TAF/@@download/ENCFF403TAF.bed.gz	GRCh38			released	inconsistent target of control experiment, low read length, low read depth, moderate library complexity	biological replicates with identical biosample		
ENCFF318ICI	bed narrowPeak	peaks	ENCSR642VZY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM4B-human	ENCAB000BQH	DNA					False	2016-04-01	ENCODE				1							ENCFF066TDG, ENCFF162ZOO	6594649	ENCODE Processing Pipeline	c31f11d8abe3e70259e45c68f8f21361		https://www.encodeproject.org/files/ENCFF318ICI/@@download/ENCFF318ICI.bed.gz	GRCh38			released	low read depth, borderline replicate concordance, antibody characterized with exemption			
ENCFF665RFE	bed narrowPeak	peaks	ENCSR642VZY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM4B-human	ENCAB000BQH	DNA					False	2016-04-01	ENCODE				1, 2							ENCFF066TDG, ENCFF162ZOO, ENCFF330ZVF, ENCFF332SVJ	7084471	ENCODE Processing Pipeline	a3878e2c9d342dd3cc2f8a67d233cf93		https://www.encodeproject.org/files/ENCFF665RFE/@@download/ENCFF665RFE.bed.gz	GRCh38			released	low read depth, borderline replicate concordance, antibody characterized with exemption			
ENCFF179HIK	bed narrowPeak	peaks	ENCSR642VZY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM4B-human	ENCAB000BQH	DNA					False	2016-04-01	ENCODE				2							ENCFF330ZVF, ENCFF332SVJ	5008917	ENCODE Processing Pipeline	cf4d1f9904f6c62a0df213b1061f951b		https://www.encodeproject.org/files/ENCFF179HIK/@@download/ENCFF179HIK.bed.gz	GRCh38			released	low read depth, borderline replicate concordance, antibody characterized with exemption			
ENCFF561ZCZ	bed narrowPeak	conservative idr thresholded peaks	ENCSR642VZY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM4B-human	ENCAB000BQH	DNA					False	2016-04-01	ENCODE				1, 2							ENCFF179HIK, ENCFF318ICI, ENCFF419RSJ, ENCFF665RFE	103633	ENCODE Processing Pipeline	132d8cec16663937ab3d080451cd2263		https://www.encodeproject.org/files/ENCFF561ZCZ/@@download/ENCFF561ZCZ.bed.gz	GRCh38			released	low read depth, borderline replicate concordance, antibody characterized with exemption			
ENCFF955AOD	bed narrowPeak	optimal idr thresholded peaks	ENCSR642VZY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM4B-human	ENCAB000BQH	DNA					False	2016-04-01	ENCODE				1, 2							ENCFF179HIK, ENCFF318ICI, ENCFF419RSJ, ENCFF665RFE	149529	ENCODE Processing Pipeline	bc4c11d9d78b94563fe383ad4e73cabf		https://www.encodeproject.org/files/ENCFF955AOD/@@download/ENCFF955AOD.bed.gz	GRCh38			released	low read depth, borderline replicate concordance, antibody characterized with exemption			
ENCFF653KSG	bed narrowPeak	peaks	ENCSR642VZY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM4B-human	ENCAB000BQH	DNA					False	2016-04-01	ENCODE				2							ENCFF061QOJ, ENCFF697MUV	5013280	ENCODE Processing Pipeline	3b05dbf77ef7c94afb2756e092c442af		https://www.encodeproject.org/files/ENCFF653KSG/@@download/ENCFF653KSG.bed.gz	hg19			released	low read depth, borderline replicate concordance, antibody characterized with exemption			
ENCFF274QRN	bed narrowPeak	peaks	ENCSR642VZY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM4B-human	ENCAB000BQH	DNA					False	2016-04-01	ENCODE				1							ENCFF444TNY, ENCFF687NJZ	6619368	ENCODE Processing Pipeline	9623122622e543751f25f98e9569871c		https://www.encodeproject.org/files/ENCFF274QRN/@@download/ENCFF274QRN.bed.gz	hg19			released	low read depth, borderline replicate concordance, antibody characterized with exemption			
ENCFF321EBZ	bed narrowPeak	peaks	ENCSR642VZY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM4B-human	ENCAB000BQH	DNA					False	2016-04-01	ENCODE				1, 2							ENCFF061QOJ, ENCFF444TNY, ENCFF687NJZ, ENCFF697MUV	7082793	ENCODE Processing Pipeline	38d601c00b062ea1c82507bfe9a3f98c		https://www.encodeproject.org/files/ENCFF321EBZ/@@download/ENCFF321EBZ.bed.gz	hg19			released	low read depth, borderline replicate concordance, antibody characterized with exemption			
ENCFF042RAK	bed narrowPeak	optimal idr thresholded peaks	ENCSR642VZY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM4B-human	ENCAB000BQH	DNA					False	2016-04-01	ENCODE				1, 2							ENCFF001TDO, ENCFF274QRN, ENCFF321EBZ, ENCFF653KSG	143406	ENCODE Processing Pipeline	5999caca5c955d8fcf5642d2be510f69		https://www.encodeproject.org/files/ENCFF042RAK/@@download/ENCFF042RAK.bed.gz	hg19			released	low read depth, borderline replicate concordance, antibody characterized with exemption			
ENCFF053ADC	bed narrowPeak	conservative idr thresholded peaks	ENCSR642VZY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				KDM4B-human	ENCAB000BQH	DNA					False	2016-04-01	ENCODE				1, 2							ENCFF001TDO, ENCFF274QRN, ENCFF321EBZ, ENCFF653KSG	99607	ENCODE Processing Pipeline	9679702e2cbe451a0251b3e344a98c49		https://www.encodeproject.org/files/ENCFF053ADC/@@download/ENCFF053ADC.bed.gz	hg19			released	low read depth, borderline replicate concordance, antibody characterized with exemption			
ENCFF001VNM	bed narrowPeak	peaks	ENCSR000EGK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon gamma		30.0 minute	IRF1-human	ENCAB000AHX	DNA		see document	see document		False	2012-05-14	ENCODE												842930	Michael Snyder, Stanford	767c90a87cb34d7f74ae69fbd816cf74		https://www.encodeproject.org/files/ENCFF001VNM/@@download/ENCFF001VNM.bed.gz	hg19			archived	low read depth, low read length, borderline replicate concordance, mild to moderate bottlenecking	missing derived_from, biological replicates with identical biosample	control insufficient read depth	
ENCFF002CWX	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EGK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon gamma		30.0 minute	IRF1-human	ENCAB000AHX	DNA		see document	see document		False	2012-05-14	ENCODE												265788	ENCODE Consortium Analysis Working Group	24eba98c3ea79e788b5dc044958e6784		https://www.encodeproject.org/files/ENCFF002CWX/@@download/ENCFF002CWX.bed.gz	hg19			archived	low read depth, low read length, borderline replicate concordance, mild to moderate bottlenecking	missing derived_from, biological replicates with identical biosample	control insufficient read depth	
ENCFF846FXF	bed narrowPeak	peaks	ENCSR000EGK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon gamma		30.0 minute	IRF1-human	ENCAB000AHX	DNA		see document	see document		False	2012-05-14	ENCODE				2							ENCFF287WTN, ENCFF293UAO	4677267	ENCODE Processing Pipeline	5d04eabf7d801827ba9dd428b67b3a2a		https://www.encodeproject.org/files/ENCFF846FXF/@@download/ENCFF846FXF.bed.gz	hg19			released	low read depth, low read length, borderline replicate concordance, mild to moderate bottlenecking	biological replicates with identical biosample	control insufficient read depth	
ENCFF390PTY	bed narrowPeak	peaks	ENCSR000EGK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon gamma		30.0 minute	IRF1-human	ENCAB000AHX	DNA		see document	see document		False	2012-05-14	ENCODE				1							ENCFF287WTN, ENCFF389FCP	4432438	ENCODE Processing Pipeline	ab2e3391da9694f3f4d7e4e25f9d67bf		https://www.encodeproject.org/files/ENCFF390PTY/@@download/ENCFF390PTY.bed.gz	hg19			released	low read depth, low read length, borderline replicate concordance, mild to moderate bottlenecking	biological replicates with identical biosample	control insufficient read depth	
ENCFF908UIY	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EGK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon gamma		30.0 minute	IRF1-human	ENCAB000AHX	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF370WUU, ENCFF390PTY, ENCFF846FXF	245198	ENCODE Processing Pipeline	ec29245560e4baf22e4e5e93fac1d297		https://www.encodeproject.org/files/ENCFF908UIY/@@download/ENCFF908UIY.bed.gz	hg19			released	low read depth, low read length, borderline replicate concordance, mild to moderate bottlenecking	biological replicates with identical biosample	control insufficient read depth	
ENCFF370WUU	bed narrowPeak	peaks	ENCSR000EGK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon gamma		30.0 minute	IRF1-human	ENCAB000AHX	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF287WTN, ENCFF293UAO, ENCFF389FCP	5360627	ENCODE Processing Pipeline	cccf95223313c722121027af3403818d		https://www.encodeproject.org/files/ENCFF370WUU/@@download/ENCFF370WUU.bed.gz	hg19			released	low read depth, low read length, borderline replicate concordance, mild to moderate bottlenecking	biological replicates with identical biosample	control insufficient read depth	
ENCFF023PTJ	bed narrowPeak	peaks	ENCSR000EGK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon gamma		30.0 minute	IRF1-human	ENCAB000AHX	DNA		see document	see document		False	2012-05-14	ENCODE				2							ENCFF299HHL, ENCFF942FFX	4616294	ENCODE Processing Pipeline	b5dc212377600b36c85344eddbae0ae6		https://www.encodeproject.org/files/ENCFF023PTJ/@@download/ENCFF023PTJ.bed.gz	GRCh38			released	low read depth, low read length, borderline replicate concordance, mild to moderate bottlenecking	biological replicates with identical biosample	control insufficient read depth	
ENCFF642JPJ	bed narrowPeak	peaks	ENCSR000EGK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon gamma		30.0 minute	IRF1-human	ENCAB000AHX	DNA		see document	see document		False	2012-05-14	ENCODE				1							ENCFF168KTM, ENCFF942FFX	4442680	ENCODE Processing Pipeline	1c076edd67df6208a4e7f62fc963be72		https://www.encodeproject.org/files/ENCFF642JPJ/@@download/ENCFF642JPJ.bed.gz	GRCh38			released	low read depth, low read length, borderline replicate concordance, mild to moderate bottlenecking	biological replicates with identical biosample	control insufficient read depth	
ENCFF688XON	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EGK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon gamma		30.0 minute	IRF1-human	ENCAB000AHX	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF023PTJ, ENCFF314LWQ, ENCFF419RSJ, ENCFF642JPJ	246488	ENCODE Processing Pipeline	da91f0a6bf4dc7319b2c220c94ea6655		https://www.encodeproject.org/files/ENCFF688XON/@@download/ENCFF688XON.bed.gz	GRCh38			released	low read depth, low read length, borderline replicate concordance, mild to moderate bottlenecking	biological replicates with identical biosample	control insufficient read depth	
ENCFF314LWQ	bed narrowPeak	peaks	ENCSR000EGK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon gamma		30.0 minute	IRF1-human	ENCAB000AHX	DNA		see document	see document		False	2012-05-14	ENCODE				1, 2							ENCFF168KTM, ENCFF299HHL, ENCFF942FFX	5288698	ENCODE Processing Pipeline	93b6b2c7350ba9dc135184b4b9f9c7a6		https://www.encodeproject.org/files/ENCFF314LWQ/@@download/ENCFF314LWQ.bed.gz	GRCh38			released	low read depth, low read length, borderline replicate concordance, mild to moderate bottlenecking	biological replicates with identical biosample	control insufficient read depth	
ENCFF902RHR	bed narrowPeak	peaks	ENCSR894CGX	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SUPT5H-human	ENCAB349SAR	DNA					False	2016-10-14	ENCODE				1							ENCFF158LEE, ENCFF581ZJL	7166913	ENCODE Processing Pipeline	c79d8243bfba48199c241beffa9d9377		https://www.encodeproject.org/files/ENCFF902RHR/@@download/ENCFF902RHR.bed.gz	hg19			released				
ENCFF452CEM	bed narrowPeak	peaks	ENCSR894CGX	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SUPT5H-human	ENCAB349SAR	DNA					False	2016-10-14	ENCODE				2							ENCFF051LWI, ENCFF204XLM	7193583	ENCODE Processing Pipeline	db70e968a32451c5251dbc5acdc4e646		https://www.encodeproject.org/files/ENCFF452CEM/@@download/ENCFF452CEM.bed.gz	hg19			released				
ENCFF548OKF	bed narrowPeak	peaks	ENCSR894CGX	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SUPT5H-human	ENCAB349SAR	DNA					False	2016-10-14	ENCODE				1, 2							ENCFF051LWI, ENCFF158LEE, ENCFF204XLM, ENCFF581ZJL	7178717	ENCODE Processing Pipeline	5da3dc4f11b407e1074dcdf274dc4ad4		https://www.encodeproject.org/files/ENCFF548OKF/@@download/ENCFF548OKF.bed.gz	hg19			released				
ENCFF484HCG	bed narrowPeak	optimal idr thresholded peaks	ENCSR894CGX	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SUPT5H-human	ENCAB349SAR	DNA					False	2016-10-14	ENCODE				1, 2							ENCFF001TDO, ENCFF452CEM, ENCFF548OKF, ENCFF902RHR	545686	ENCODE Processing Pipeline	edb704f30f5be1dd1284828f92f6a8ed		https://www.encodeproject.org/files/ENCFF484HCG/@@download/ENCFF484HCG.bed.gz	hg19			released				
ENCFF986PTF	bed narrowPeak	peaks	ENCSR894CGX	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SUPT5H-human	ENCAB349SAR	DNA					False	2016-10-14	ENCODE				1							ENCFF079TBV, ENCFF910IKB	7110923	ENCODE Processing Pipeline	6ae8ef77cf4ff11989591a6ae4bc6d3e		https://www.encodeproject.org/files/ENCFF986PTF/@@download/ENCFF986PTF.bed.gz	GRCh38			released				
ENCFF680XEG	bed narrowPeak	peaks	ENCSR894CGX	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SUPT5H-human	ENCAB349SAR	DNA					False	2016-10-14	ENCODE				2							ENCFF227IZS, ENCFF772XIR	7119635	ENCODE Processing Pipeline	afe45810bce07a58c7319d9e41dfc2d1		https://www.encodeproject.org/files/ENCFF680XEG/@@download/ENCFF680XEG.bed.gz	GRCh38			released				
ENCFF710LBM	bed narrowPeak	peaks	ENCSR894CGX	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SUPT5H-human	ENCAB349SAR	DNA					False	2016-10-14	ENCODE				1, 2							ENCFF079TBV, ENCFF227IZS, ENCFF772XIR, ENCFF910IKB	7188257	ENCODE Processing Pipeline	8b5cc6a9a4c3247b7e707846b9ce23e0		https://www.encodeproject.org/files/ENCFF710LBM/@@download/ENCFF710LBM.bed.gz	GRCh38			released				
ENCFF721DPQ	bed narrowPeak	optimal idr thresholded peaks	ENCSR894CGX	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SUPT5H-human	ENCAB349SAR	DNA					False	2016-10-14	ENCODE				1, 2							ENCFF419RSJ, ENCFF680XEG, ENCFF710LBM, ENCFF986PTF	544728	ENCODE Processing Pipeline	e42a19231a68bed191cd2e322f964da2		https://www.encodeproject.org/files/ENCFF721DPQ/@@download/ENCFF721DPQ.bed.gz	GRCh38			released				
